,Event.Id,Investigation.Type,Accident.Number,Event.Date,Country,Airport.Code,Airport.Name,Injury.Severity,Aircraft.damage,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,year,month,day,Make/Model,model_new,City,State
46506,20001212X19179,Accident,CHI99LA212,1999-07-04,United States,LYO,LYONS RICE COUNTY,Non-Fatal,Substantial,Airplane,N45078,cessna,150m,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Descent,Probable Cause,1999,7,4,cessna 150m,150,LYONS, KS
46508,20001212X19150,Accident,ATL99LA104,1999-07-04,United States,,HUFAKER FIELD,Non-Fatal,Substantial,Airplane,N9361J,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1999,7,4,piper pa28180,pa-28,CHUCKEY, TN
46522,20001212X19337,Accident,NYC99LA167,1999-07-06,United States,,,Non-Fatal,Substantial,Airplane,N22600,cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1999,7,6,cessna 150,150,WOODSTOCK, VA
46524,20001212X19292,Accident,LAX99LA234,1999-07-06,United States,,,Non-Fatal,Substantial,Airplane,N3477Q,piper,pa28181,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Climb,Probable Cause,1999,7,6,piper pa28181,pa-28,SAN LUIS OBISPO, CA
46535,20001212X19338,Accident,NYC99LA168,1999-07-07,United States,1G3,KENT STATE UNIV AIRPORT,Non-Fatal,Substantial,Airplane,N95435,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1999,7,7,cessna 152,152,STOW, OH
46536,20001212X19266,Accident,FTW99LA185,1999-07-07,United States,M70,NICK WILSON FIELD,Non-Fatal,Substantial,Airplane,N7660U,cessna,150m,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1999,7,7,cessna 150m,150,POCAHONTAS, AR
46545,20001212X19347,Accident,NYC99LA180,1999-07-08,United States,21N,MATTITUCK AIRBASE,Non-Fatal,Substantial,Airplane,N7164Q,cessna,172,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1999,7,8,cessna 172,172,MATTITUCK, NY
46559,20001212X19301,Accident,LAX99LA250,1999-07-10,United States,Q60,SIERRA SKY PARK,Non-Fatal,Substantial,Airplane,N73113,cessna,172m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1999,7,10,cessna 172m,172,FRESNO, CA
46568,20001212X19187,Accident,CHI99LA224,1999-07-11,United States,FBL,FARIBAULT,Non-Fatal,Substantial,Airplane,N4886G,cessna,172n,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1999,7,11,cessna 172n,172,FARIBAULT, MN
46572,20001212X19164,Accident,CHI99FA221,1999-07-11,United States,,,Fatal(1),Destroyed,Airplane,N7983E,cessna,150,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1999,7,11,cessna 150,150,HUBBARD LAKE, MI
46574,20001212X19342,Accident,NYC99LA173,1999-07-12,United States,K62,GENE SNYDER AIRPORT,Non-Fatal,Substantial,Airplane,N3213L,cessna,172h,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Maneuvering,Probable Cause,1999,7,12,cessna 172h,172,FALMOUTH, KY
46579,20001212X19343,Accident,NYC99LA174,1999-07-12,United States,4G2,HAMBURG INC AIRPORT,Non-Fatal,Destroyed,Airplane,N42246,cessna,172m,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Landing,Probable Cause,1999,7,12,cessna 172m,172,HAMBURG, NY
46583,20001212X19314,Accident,MIA99LA196,1999-07-13,United States,,,Non-Fatal,Substantial,Airplane,N56706,piper,pa28r200,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Maneuvering,Probable Cause,1999,7,13,piper pa28r200,pa-28,BOCA RATON, FL
46585,20001212X19245,Accident,DEN99LA121,1999-07-13,United States,APA,CENTENNIAL AIRPORT,Non-Fatal,Substantial,Airplane,N5396D,cessna,172n,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,3.0,VMC,Approach,Probable Cause,1999,7,13,cessna 172n,172,ENGLEWOOD, CO
46593,20001212X19270,Accident,FTW99LA189,1999-07-14,United States,NONE,KEZER AIR RANCH,Non-Fatal,Substantial,Airplane,N44677,piper,pa28151,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,1999,7,14,piper pa28151,pa-28,SPRINGTOWN, TX
46594,20001212X19197,Accident,CHI99LA237,1999-07-14,United States,7C5,SIG FIELD,Non-Fatal,Substantial,Airplane,N19752,cessna,172l,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1999,7,14,cessna 172l,172,MONTEZUMA, IA
46600,20001212X19302,Accident,LAX99LA252,1999-07-15,United States,L17,TAFT - KERN COUNTY,Non-Fatal,Substantial,Airplane,N46451,cessna,172k,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,1999,7,15,cessna 172k,172,TAFT, CA
46601,20001212X19288,Accident,IAD99LA054,1999-07-15,United States,B01,GRANVILLE AIRPORT,Non-Fatal,Substantial,Airplane,N50079,cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,Probable Cause,1999,7,15,cessna 150,150,GRANVILLE, NY
46608,20001212X19156,Accident,ATL99LA110,1999-07-16,United States,ISM,KISSIMMEE MUNICIPAL,Non-Fatal,Substantial,Airplane,N734YU,cessna,172n,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1999,7,16,cessna 172n,172,KISSIMMEE, FL
46611,20001212X19377,Accident,SEA99LA122,1999-07-17,United States,,,Non-Fatal,Substantial,Airplane,N704AX,cessna,150m,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1999,7,17,cessna 150m,150,GLENNS FERRY, ID
46613,20001212X19316,Accident,MIA99LA199,1999-07-17,United States,,,Non-Fatal,Substantial,Airplane,N3030Q,piper,pa28181,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Cruise,Probable Cause,1999,7,17,piper pa28181,pa-28,DUNEDIN, FL
46619,20001212X19199,Accident,CHI99LA240,1999-07-17,United States,BUM,BUTLER MEMORIAL AIRPORT,Non-Fatal,Substantial,Airplane,N9653J,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1999,7,17,piper pa28180,pa-28,BUTLER, MO
46625,20001212X19167,Accident,CHI99FA238,1999-07-17,United States,,,Fatal(2),Destroyed,Airplane,N5054F,piper,pa28181,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1999,7,17,piper pa28181,pa-28,YORKVILLE, IL
46627,20001212X19287,Accident,IAD99LA053,1999-07-18,United States,42I,PARR AIRPORT,Non-Fatal,Substantial,Airplane,N235TL,piper,pa28235,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause,1999,7,18,piper pa28235,pa-28,ZANESVILLE, OH
46628,20001212X19272,Accident,FTW99LA193,1999-07-18,United States,BMT,BEAUMONT MUNICIPAL,Non-Fatal,Substantial,Airplane,N150WM,cessna,150m,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1999,7,18,cessna 150m,150,BEAUMONT, TX
46634,20001212X19304,Accident,LAX99LA255,1999-07-19,United States,,,Non-Fatal,Substantial,Airplane,N60169,cessna,150j,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1999,7,19,cessna 150j,150,HUNTINGTON BCH, CA
46635,20001212X19204,Accident,CHI99LA245,1999-07-19,United States,6D6,GREENVILLE MUNICIPAL,Non-Fatal,Substantial,Airplane,N3558E,cessna,172n,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1999,7,19,cessna 172n,172,GREENVILLE, MI
46644,20001212X19157,Accident,ATL99LA111,1999-07-20,United States,25NC,SMITH AIRSTRIP AIRPORT,Non-Fatal,Substantial,Airplane,N704ET,cessna,150m,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,1999,7,20,cessna 150m,150,ASHEBORO, NC
46649,20001212X19273,Accident,FTW99LA195,1999-07-21,United States,DDJ,FRISCO COUNTY,Non-Fatal,Substantial,Airplane,N5144L,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1999,7,21,cessna 152,152,FRISCO, TX
46653,20001212X19249,Accident,DEN99LA126,1999-07-22,United States,PUB,PUEBLO MEMORIAL,Non-Fatal,Substantial,Airplane,N5595W,piper,pa28160b,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause,1999,7,22,piper pa28160b,pa-28,PUEBLO, CO
46654,20001212X19248,Accident,DEN99LA125,1999-07-22,United States,00V,MEADOW LAKE AIRPORT,Non-Fatal,Substantial,Airplane,N5696T,cessna,172e,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,1999,7,22,cessna 172e,172,PEYTON, CO
46666,20001212X19209,Accident,CHI99LA250,1999-07-23,United States,18KS,CHEROKEE STRIP AIRPORT,Non-Fatal,Substantial,Airplane,N6726G,cessna,150l,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,1999,7,23,cessna 150l,150,UDALL, KS
46667,20001212X19208,Accident,CHI99LA249,1999-07-23,United States,C20,ANDREWS UNIVERSITY AIRPAR,Non-Fatal,Substantial,Airplane,N95534,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Go-around,Probable Cause,1999,7,23,cessna 152,152,BERRIEN SPRINGS, MI
46671,20001212X19349,Accident,NYC99LA183,1999-07-23,United States,0N4,CHANDELLE ESTATES,Non-Fatal,Destroyed,Airplane,N6017R,cessna,172g,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1999,7,23,cessna 172g,172,DOVER, DE
46677,20001212X19351,Accident,NYC99LA185,1999-07-24,United States,47N,CENTRAL JERSEY AIRPORT,Non-Fatal,Substantial,Airplane,N714HS,cessna,150,No,1.0,Reciprocating,Instructional,0.0,0.0,2.0,0.0,VMC,Climb,Probable Cause,1999,7,24,cessna 150,150,MANVILLE, NJ
46680,20001212X19318,Accident,MIA99LA201,1999-07-24,United States,OMA,ORMOND BEACH,Non-Fatal,Substantial,Airplane,N19222,cessna,150l,No,1.0,Reciprocating,Instructional,0.0,2.0,0.0,0.0,VMC,Maneuvering,Probable Cause,1999,7,24,cessna 150l,150,ORMOND BEACH, FL
46682,20001212X19305,Accident,LAX99LA256,1999-07-24,United States,,,Non-Fatal,Substantial,Airplane,N5784T,cessna,172e,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause,1999,7,24,cessna 172e,172,EMERYVILLE, CA
46689,20001212X19307,Accident,LAX99LA258,1999-07-25,United States,PRC,ERNEST A. LOVE FIELD,Non-Fatal,Substantial,Airplane,N5535D,cessna,172n,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1999,7,25,cessna 172n,172,PRESCOTT, AZ
46690,20001212X19283,Accident,FTW99LA237,1999-07-25,United States,NONE,RIVER ACRES,Non-Fatal,Substantial,Airplane,N7605J,piper,pa28r180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Landing,Probable Cause,1999,7,25,piper pa28r180,pa-28,HEBER SPRINGS, AR
46694,20001212X19308,Accident,LAX99LA259,1999-07-26,United States,HWD,HAYWARD EXECUTIVE,Non-Fatal,Substantial,Airplane,N5539W,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause,1999,7,26,piper pa28180,pa-28,HAYWARD, CA
46697,20001212X19226,Accident,CHI99LA282,1999-07-26,United States,SUW,BONG,Non-Fatal,Substantial,Airplane,N68268,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1999,7,26,cessna 152,152,SUPERIOR, WI
46701,20001212X19278,Accident,FTW99LA202,1999-07-27,United States,6R5,ALVIN AIRPARK,Non-Fatal,Substantial,Airplane,N2721J,cessna,a150m,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1999,7,27,cessna a150m,150,ALVIN, TX
46704,20001212X19322,Accident,MIA99LA205,1999-07-28,United States,,,Non-Fatal,Substantial,Airplane,N1092V,cessna,r172k,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Climb,Probable Cause,1999,7,28,cessna r172k,172,PONTOTOC, MS
46720,20001212X19323,Accident,MIA99LA207,1999-07-30,United States,2J8,PIERSON MUNICIPAL AIRPORT,Non-Fatal,Substantial,Airplane,N9880V,cessna,172m,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1999,7,30,cessna 172m,172,PIERSON, FL
46735,20001212X19255,Accident,DEN99LA132,1999-07-31,United States,NM51,SANDIA AIRPARK ESTATES,Non-Fatal,Substantial,Airplane,N7521W,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,1999,7,31,piper pa28180,pa-28,EDGEWOOD, NM
46744,20001212X19620,Accident,NYC99LA188,1999-08-01,United States,33N,DELAWARE AIRPORT,Non-Fatal,Substantial,Airplane,N2746C,cessna,172r,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1999,8,1,cessna 172r,172,CHESWOLD, DE
46746,20001212X19582,Accident,MIA99LA209,1999-08-01,United States,GYH,GREENVILLE-DONALDSON CEN,Non-Fatal,Substantial,Airplane,N3206V,cessna,150m,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Descent,Probable Cause,1999,8,1,cessna 150m,150,GREENVILLE, SC
46747,20001212X19506,Accident,FTW99LA205,1999-08-01,United States,CFD,COULTER FIELD AIRPORT,Non-Fatal,Substantial,Airplane,N444UF,cessna,150l,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,1.0,VMC,Maneuvering,Probable Cause,1999,8,1,cessna 150l,150,BRYAN, TX
46756,20001212X19478,Accident,DEN99FA142,1999-08-02,United States,,,Fatal(1),Destroyed,Airplane,N6497K,cessna,172p,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Cruise,Probable Cause,1999,8,2,cessna 172p,172,GRANTS, NM
46760,20001212X19397,Accident,ANC99LA103,1999-08-03,United States,ENA,KENAI MUNI,Non-Fatal,Substantial,Airplane,N95031,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1999,8,3,cessna 152,152,KENAI, AK
46763,20001212X19483,Accident,DEN99LA135,1999-08-04,United States,APA,CENTENNIAL AIRPORT,Non-Fatal,Substantial,Airplane,N733CK,cessna,172n,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1999,8,4,cessna 172n,172,ENGLEWOOD, CO
46766,20001212X19554,Accident,LAX99LA265,1999-08-05,United States,C80,NEW COALINGA,Non-Fatal,Substantial,Airplane,N6814W,piper,pa28140,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1999,8,5,piper pa28140,pa-28,COALINGA, CA
46768,20001212X19423,Accident,CHI99FA276,1999-08-05,United States,C02,GRAND GENEVA RESORT ARPT,Non-Fatal,Substantial,Airplane,N4337X,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,3.0,1.0,0.0,VMC,Takeoff,Probable Cause,1999,8,5,piper pa28180,pa-28,LAKE GENEVA, WI
46772,20001212X19424,Accident,CHI99FA278,1999-08-05,United States,C81,CAMPBELL AIRPORT,Fatal(4),Destroyed,Airplane,N56718,piper,pa28r200,No,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,VMC,Approach,Probable Cause,1999,8,5,piper pa28r200,pa-28,GRAYSLAKE, IL
46776,20001212X19438,Accident,CHI99LA283,1999-08-06,United States,UGN,WAUKEGAN REGIONAL,Non-Fatal,Substantial,Airplane,N933LA,cessna,172p,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1999,8,6,cessna 172p,172,WAUKEGAN, IL
46777,20001212X19434,Accident,CHI99LA277,1999-08-06,United States,STK,SIKESTON,Non-Fatal,Substantial,Airplane,N3755V,cessna,150m,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1999,8,6,cessna 150m,150,SIKESTON, MO
46778,20001212X19576,Accident,MIA99FA215,1999-08-06,United States,9W7,CURRITUCK COUNTY AIRPORT,Fatal(2),Destroyed,Airplane,N7059F,cessna,150f,No,,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,1999,8,6,cessna 150f,150,MAPLE, NC
46794,20001212X19612,Accident,NYC99FA193,1999-08-08,United States,7SP,SEVEN SPRINGS,Fatal(2),Substantial,Airplane,N3892T,piper,pa28r180,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC,Takeoff,Probable Cause,1999,8,8,piper pa28r180,pa-28,SEVEN SPRINGS, PA
46795,20001212X19590,Accident,MIA99LA221,1999-08-08,United States,GMU,GREENVILLE DOWNTOWN,Non-Fatal,Substantial,Airplane,N82974,piper,pa28181,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Approach,Probable Cause,1999,8,8,piper pa28181,pa-28,GREENVILLE, SC
46796,20001212X19586,Accident,MIA99LA216,1999-08-08,United States,SAV,SAVANNAH INTERNATIONAL,Non-Fatal,Substantial,Airplane,N9514Q,cessna,172r,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1999,8,8,cessna 172r,172,SAVANNAH, GA
46797,20001212X19509,Accident,FTW99LA214,1999-08-08,United States,EYQ,WEISER AIR PARK,Non-Fatal,Substantial,Airplane,N60784,cessna,150j,No,1.0,Reciprocating,Instructional,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,1999,8,8,cessna 150j,150,CYPRESS, TX
46798,20001212X19508,Accident,FTW99LA213,1999-08-08,United States,,,Non-Fatal,Substantial,Airplane,N737JP,cessna,172n,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause,1999,8,8,cessna 172n,172,HOT SPRINGS, AR
46801,20001212X19435,Accident,CHI99LA279,1999-08-08,United States,063,SCHAUMBURG,Non-Fatal,Substantial,Airplane,N2366W,piper,pa28161,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,1.0,VMC,Takeoff,Probable Cause,1999,8,8,piper pa28161,pa-28,SCHAUMBURG, IL
46805,20001212X19588,Accident,MIA99LA218,1999-08-09,United States,,,Non-Fatal,Substantial,Airplane,N3187X,cessna,150g,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,IMC,Cruise,Probable Cause,1999,8,9,cessna 150g,150,GREENEVILLE, TN
46808,20001212X19439,Accident,CHI99LA286,1999-08-09,United States,,,Non-Fatal,Substantial,Airplane,N4611P,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,1.0,VMC,Cruise,Probable Cause,1999,8,9,cessna 152,152,EVANSVILLE, IN
46809,20001212X19437,Accident,CHI99LA281,1999-08-09,United States,PRO,PERRY MUNICIPAL,Non-Fatal,Substantial,Airplane,N66271,cessna,150m,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1999,8,9,cessna 150m,150,PERRY, IA
46814,20001212X19591,Accident,MIA99LA222,1999-08-10,United States,LZU,GWINNETT COUNTY,Non-Fatal,Substantial,Airplane,N67914,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1999,8,10,cessna 152,152,LAWRENCEVILLE, GA
46821,20001212X19626,Accident,NYC99LA196,1999-08-11,United States,MGJ,ORANGE COUNTY AIRPORT,Non-Fatal,Substantial,Airplane,N65742,cessna,172p,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1999,8,11,cessna 172p,172,MONTGOMERY, NY
46840,20001212X19441,Accident,CHI99LA288,1999-08-13,United States,0H0,ROBINSON RLA,Non-Fatal,Substantial,Airplane,N4425L,cessna,172g,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Takeoff,Probable Cause,1999,8,13,cessna 172g,172,GLENARM, IL
46845,20001212X19578,Accident,MIA99FA224,1999-08-13,United States,HWO,NORTH PERRY AIRPORT,Fatal(2),Destroyed,Airplane,N754AR,piper,pa28140,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause,1999,8,13,piper pa28140,pa-28,PEMBROKE PINES, FL
46846,20001212X19557,Accident,LAX99LA269,1999-08-13,United States,,,Non-Fatal,Destroyed,Airplane,N49100,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Descent,Probable Cause,1999,8,13,cessna 152,152,BUCKEYE, AZ
46852,20001212X19452,Accident,CHI99LA302,1999-08-14,United States,ENW,KENOSHA MUNICIPAL AIRPORT,Non-Fatal,Substantial,Airplane,N6001G,cessna,150k,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,Probable Cause,1999,8,14,cessna 150k,150,KENOSHA, WI
46853,20001212X19451,Accident,CHI99LA301,1999-08-14,United States,RGK,RED WING MUNICIPAL ARPT,Non-Fatal,Substantial,Airplane,N32840,piper,pa28151,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1999,8,14,piper pa28151,pa-28,RED WING, MN
46854,20001212X19418,Accident,ATL99LA116,1999-08-14,United States,,,Non-Fatal,Substantial,Airplane,N667GA,cessna,r172e,No,1.0,Reciprocating,Personal,0.0,0.0,4.0,0.0,VMC,Cruise,Probable Cause,1999,8,14,cessna r172e,172,CHIEFLAND, FL
46868,20001212X19630,Accident,NYC99LA203,1999-08-16,United States,19N,CAMDEN COUNTY AIRPORT,Non-Fatal,Substantial,Airplane,N2721R,piper,pa28r200,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Approach,Probable Cause,1999,8,16,piper pa28r200,pa-28,BERLIN, NJ
46870,20001212X19556,Accident,LAX99LA268,1999-08-16,United States,SAC,SACRAMENTO INTL,Non-Fatal,Substantial,Airplane,N3004U,piper,pa28181,No,1.0,Reciprocating,Instructional,0.0,0.0,2.0,1.0,VMC,Cruise,Probable Cause,1999,8,16,piper pa28181,pa-28,SACRAMENTO, CA
46875,20001212X19449,Accident,CHI99LA299,1999-08-16,United States,5G9,TOLEDO SUBURBAN AIRPORT,Non-Fatal,Substantial,Airplane,N4061J,cessna,150g,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Landing,Probable Cause,1999,8,16,cessna 150g,150,LAMBERTVILLE, MI
46879,20001212X19651,Accident,SEA99LA142,1999-08-17,United States,S98,VISTA FIELD,Non-Fatal,Substantial,Airplane,N6148Q,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause,1999,8,17,cessna 152,152,KENNEWICK, WA
46881,20001212X19593,Accident,MIA99LA225,1999-08-17,United States,OCF,OCALA REGIONAL,Non-Fatal,Substantial,Airplane,N5416M,cessna,152,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1999,8,17,cessna 152,152,OCALA, FL
46885,20001212X19494,Accident,DEN99LA150,1999-08-17,United States,TVY,BOLINDER FIELD-TOOELE,Non-Fatal,Substantial,Airplane,N8262S,piper,pa28181,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause,1999,8,17,piper pa28181,pa-28,TOOELE, UT
46886,20001212X19455,Accident,CHI99LA305,1999-08-17,United States,Z92,HARSENS ISLAND,Non-Fatal,Substantial,Airplane,N44547,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1999,8,17,piper pa28180,pa-28,HARSENS ISLAND, MI
46891,20001212X19395,Accident,ANC99FAMS2,1999-08-17,United States,,,Fatal(1),Destroyed,Airplane,N56877,piper,pa28r200,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,,Unknown,Probable Cause,1999,8,17,piper pa28r200,pa-28,CHITINA, AK
46896,20001212X19454,Accident,CHI99LA304,1999-08-18,United States,OMA,EPPLEY AIRFIELD,Non-Fatal,Substantial,Airplane,N869NE,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause,1999,8,18,cessna 152,152,OMAHA, NE
46901,20001212X19632,Accident,NYC99LA207,1999-08-19,United States,,,Non-Fatal,Substantial,Airplane,N49014,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause,1999,8,19,cessna 152,152,ROCKVILLE, VA
46911,20001212X19457,Accident,CHI99LA307,1999-08-20,United States,3C2,SHENK AIRSTRIP,Non-Fatal,Substantial,Airplane,N161BA,cessna,150l,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Takeoff,Probable Cause,1999,8,20,cessna 150l,150,GARRETT, IN
46913,20001212X19524,Accident,FTW99LA232,1999-08-20,United States,LVJ,CLOVER FIELD,Non-Fatal,Minor,Airplane,N43404,piper,pa28151,No,1.0,Reciprocating,Instructional,0.0,1.0,0.0,2.0,VMC,Taxi,Probable Cause,1999,8,20,piper pa28151,pa-28,HOUSTON, TX
46916,20001212X19598,Accident,MIA99LA233,1999-08-21,United States,TMB,KENDALL-TAMIAMI EXECUTIVE,Non-Fatal,Substantial,Airplane,N6231V,cessna,172rg,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,Probable Cause,1999,8,21,cessna 172rg,172,MIAMI, FL
46921,20001212X19525,Accident,FTW99LA233,1999-08-21,United States,,,Non-Fatal,Substantial,Airplane,N6243R,cessna,150f,No,1.0,Reciprocating,Personal,0.0,0.0,1.0,0.0,VMC,Maneuvering,Probable Cause,1999,8,21,cessna 150f,150,ZACHARY, LA
46923,20001212X19522,Accident,FTW99LA230,1999-08-21,United States,WEA,PARKER COUNTY,Non-Fatal,Substantial,Airplane,N8981J,piper,pa28180,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Takeoff,Probable Cause,1999,8,21,piper pa28180,pa-28,WEATHERFORD, TX
